2024/07/06 04:19:20 [error] 870#870: *591 open() "/data/custom_html/favicon.png" failed (2: No such file or directory), client: 172.18.0.1, server: buckfiddy, request: "GET /favicon.png HTTP/1.1", host: "buckfiddy", referrer: "http://buckfiddy/"
2024/07/06 04:29:01 [error] 870#870: *847 open() "/data/custom_html/images/favicon-16x16.png" failed (2: No such file or directory), client: 172.18.0.1, server: buckfiddy, request: "GET /images/favicon-16x16.png HTTP/1.1", host: "buckfiddy", referrer: "http://buckfiddy/"
2024/07/06 04:29:03 [error] 870#870: *847 open() "/data/custom_html/images/favicon-16x16.png" failed (2: No such file or directory), client: 172.18.0.1, server: buckfiddy, request: "GET /images/favicon-16x16.png HTTP/1.1", host: "buckfiddy", referrer: "http://buckfiddy/"
2024/07/06 04:31:32 [error] 870#870: *911 open() "/data/custom_html/images/favicon-16x16.png" failed (2: No such file or directory), client: 172.18.0.1, server: buckfiddy, request: "GET /images/favicon-16x16.png HTTP/1.1", host: "buckfiddy", referrer: "http://buckfiddy/"
2024/07/06 04:32:56 [error] 870#870: *911 open() "/data/custom_html/images/favicon-16x16.png" failed (2: No such file or directory), client: 172.18.0.1, server: buckfiddy, request: "GET /images/favicon-16x16.png HTTP/1.1", host: "buckfiddy", referrer: "http://buckfiddy/"
2024/07/06 05:10:00 [error] 870#870: *2204 open() "/data/custom_html/images/favicon-16x16.png" failed (2: No such file or directory), client: 172.18.0.1, server: buckfiddy, request: "GET /images/favicon-16x16.png HTTP/1.1", host: "buckfiddy", referrer: "http://buckfiddy/"
2024/07/06 06:17:24 [error] 917#917: *4601 open() "/data/custom_html/images/favicon-16x16.png" failed (2: No such file or directory), client: 172.18.0.1, server: buckfiddy, request: "GET /images/favicon-16x16.png HTTP/1.1", host: "deli.buckfiddy", referrer: "http://deli.buckfiddy/"
2024/07/06 20:31:56 [error] 616#616: *108 open() "/data/custom_html/images/favicon-16x16.png" failed (2: No such file or directory), client: 172.18.0.1, server: orch.buckfiddy, request: "GET /images/favicon-16x16.png HTTP/1.1", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/07 01:39:08 [warn] 211#211: *30 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://100.192.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/07 01:39:08 [warn] 211#211: *37 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://100.192.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/07 01:39:08 [warn] 210#210: *36 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://100.192.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/07 01:39:08 [warn] 210#210: *29 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://100.192.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/07 09:10:18 [warn] 249#249: *945 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/00/0000000005 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://100.192.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/07 09:10:18 [warn] 248#248: *951 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://100.192.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/07 09:10:18 [warn] 248#248: *952 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/00/0000000007 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://100.192.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/07 09:10:18 [warn] 248#248: *946 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/00/0000000008 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://100.192.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/08 17:00:21 [error] 376#376: *10831 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET / HTTP/1.1", upstream: "http://10.2.0.5:80/", host: "orch.buckfiddy", referrer: "http://proxy.buckfiddy/"
2024/07/08 17:00:21 [error] 376#376: *10831 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /favicon.ico HTTP/1.1", upstream: "http://10.2.0.5:80/favicon.ico", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
